timestamp,path,service
2023-08-05T13:55:07.337961+00,/,1
2023-08-05T13:55:18.077867+00,/getAppData,1
2023-08-05T13:55:19.198209+00,/getAppData,1036
2023-08-05T13:55:20.749294+00,/toggleScore,1
2023-08-05T13:55:21.626295+00,/toggleScore,668
2023-08-05T13:55:22.434549+00,/toggleScore,360
2023-08-05T13:55:23.226504+00,/getAppData,1443
2023-08-05T13:55:23.554210+00,/getAppData,951
2023-08-05T13:57:40.772551+00,/giveHighFive,1
2023-08-05T13:57:41.211605+00,/giveHighFive,354
2023-08-05T13:57:41.370699+00,/getAppData,1
2023-08-05T13:57:42.193059+00,/getAppData,742
2023-08-05T14:00:07.275823+00,/,1
2023-08-05T14:04:17.418885+00,/toggleScore,1
2023-08-05T14:04:17.942141+00,/toggleScore,480
2023-08-05T14:04:18.013645+00,/getAppData,1
2023-08-05T14:04:18.851348+00,/getAppData,788
2023-08-05T14:05:07.300786+00,/,1
2023-08-05T14:10:07.324784+00,/,1
2023-08-05T14:15:07.312171+00,/,1
2023-08-05T14:20:07.270386+00,/,1
2023-08-05T14:25:07.258635+00,/,1
2023-08-05T14:30:07.337723+00,/,1
2023-08-05T14:35:07.301042+00,/,1
2023-08-05T14:40:07.249114+00,/,1
2023-08-05T14:45:07.278668+00,/,1
2023-08-05T14:50:07.363820+00,/,1
2023-08-05T14:55:07.262612+00,/,1
2023-08-05T15:00:07.296666+00,/,1
2023-08-05T15:05:07.285275+00,/,1
2023-08-05T15:10:07.335384+00,/,1
2023-08-05T15:15:07.290851+00,/,1
2023-08-05T15:20:07.331733+00,/,1
2023-08-05T15:25:07.299301+00,/,1
2023-08-05T15:30:07.325106+00,/,1
2023-08-05T15:35:07.297990+00,/,0
2023-08-05T15:40:07.297515+00,/,1
2023-08-05T15:45:07.261427+00,/,1
2023-08-05T15:50:07.263948+00,/,0
2023-08-05T15:55:07.290330+00,/,1
2023-08-05T16:00:07.247099+00,/,1
2023-08-05T16:05:07.322918+00,/,5
2023-08-05T16:10:07.332368+00,/,1
2023-08-05T16:15:07.296301+00,/,1
2023-08-05T16:18:49.449824+00,/getAppData,0
