timestamp,path,service
2023-08-08T17:58:08.211009+00,/getAppData,1923
2023-08-08T17:58:08.227494+00,/getAppData,1835
2023-08-08T17:58:08.309574+00,/getAppData,1993
2023-08-08T17:58:30.997527+00,/giveHighFive,1
2023-08-08T17:58:31.640255+00,/giveHighFive,323
2023-08-08T17:58:31.933772+00,/getAppData,1
2023-08-08T17:58:34.607779+00,/getAppData,843
2023-08-08T17:58:35.875420+00,/toggleScore,1
2023-08-08T17:58:36.760541+00,/toggleScore,290
2023-08-08T17:58:38.940476+00,/getAppData,849
2023-08-08T17:58:44.816478+00,/toggleScore,365
2023-08-08T17:58:45.542637+00,/toggleScore,1
2023-08-08T17:58:45.639180+00,/getAppData,1
2023-08-08T17:58:46.239925+00,/toggleScore,383
2023-08-08T17:58:49.558752+00,/getAppData,737
2023-08-08T17:58:52.741271+00,/toggleScore,1
2023-08-08T17:58:55.610517+00,/getAppData,807
2023-08-08T17:59:00.410029+00,/toggleScore,379
2023-08-08T17:59:02.758095+00,/setMiwProgress,1
2023-08-08T17:59:05.339515+00,/,1
2023-08-08T17:59:05.367102+00,/getAppData,0
2023-08-08T17:59:05.902655+00,/setMiwProgress,338
2023-08-08T17:59:06.752966+00,/getAppData,1054
2023-08-08T17:59:07.915445+00,/getAppData,991
2023-08-08T18:01:38.847239+00,/giveHighFive,0
2023-08-08T18:01:44.612008+00,/giveHighFive,477
2023-08-08T18:01:45.607391+00,/getAppData,1
2023-08-08T18:01:46.590720+00,/getAppData,800
2023-08-08T18:04:05.315016+00,/,1
2023-08-08T18:04:28.172432+00,/getAppData,1
2023-08-08T18:04:29.327983+00,/getAppData,1035
2023-08-08T18:04:32.853495+00,/toggleScore,1
2023-08-08T18:04:33.513258+00,/toggleScore,540
2023-08-08T18:04:33.945954+00,/getAppData,0
2023-08-08T18:04:34.078036+00,/toggleScore,511
2023-08-08T18:04:35.196919+00,/getAppData,947
2023-08-08T18:04:35.224721+00,/getAppData,1174
2023-08-08T18:04:36.168092+00,/toggleScore,547
2023-08-08T18:04:37.081015+00,/toggleScore,505
2023-08-08T18:04:37.767335+00,/getAppData,1457
2023-08-08T18:04:38.256272+00,/getAppData,1022
2023-08-08T18:06:17.111173+00,/giveHighFive,1
2023-08-08T18:06:17.816132+00,/giveHighFive,508
2023-08-08T18:06:17.958369+00,/getAppData,1
2023-08-08T18:06:18.964797+00,/getAppData,881
2023-08-08T18:09:05.305023+00,/,1
2023-08-08T18:14:05.303969+00,/,1
2023-08-08T18:19:05.358880+00,/,1
2023-08-08T18:24:05.320541+00,/,1
2023-08-08T18:29:05.300776+00,/,1
2023-08-08T18:34:05.233102+00,/,1
2023-08-08T18:39:05.253174+00,/,1
2023-08-08T18:44:05.305543+00,/,1
2023-08-08T18:49:05.288934+00,/,1
2023-08-08T18:54:05.306290+00,/,1
2023-08-08T18:59:05.305450+00,/,1
2023-08-08T19:04:05.332783+00,/,1
2023-08-08T19:09:05.341053+00,/,1
2023-08-08T19:14:05.376247+00,/,1
2023-08-08T19:19:05.341429+00,/,1
2023-08-08T19:22:12.962967+00,/getAppData,1
2023-08-08T19:22:25.800633+00,/getAppData,12789
2023-08-08T19:24:05.335387+00,/,1
2023-08-08T19:26:34.087201+00,/logout,1
2023-08-08T19:26:34.296778+00,/logout,165
2023-08-08T19:29:05.281359+00,/,1
2023-08-08T19:34:05.353095+00,/,1
2023-08-08T19:39:05.307158+00,/,1
2023-08-08T19:44:05.368290+00,/,1
2023-08-08T19:49:05.286428+00,/,1
2023-08-08T19:54:05.351174+00,/,1
2023-08-08T19:59:05.298233+00,/,1
2023-08-08T20:04:05.345249+00,/,1
2023-08-08T20:09:05.357954+00,/,1
2023-08-08T20:14:05.326883+00,/,1
2023-08-08T20:19:05.368033+00,/,1
2023-08-08T20:19:10.262112+00,/getAppData,1
2023-08-08T20:19:19.901631+00,/getAppData,9561
2023-08-08T20:19:36.095209+00,/setMiwProgress,1
2023-08-08T20:19:36.629237+00,/setMiwProgress,471
2023-08-08T20:19:37.064779+00,/getAppData,1
2023-08-08T20:19:38.039734+00,/getAppData,920
2023-08-08T20:24:05.353510+00,/,1
2023-08-08T20:29:05.315516+00,/,1
2023-08-08T20:33:20.274408+00,/getAppData,1
2023-08-08T20:33:21.154925+00,/getAppData,856
2023-08-08T20:34:05.276877+00,/,1
2023-08-08T20:39:05.283757+00,/,1
2023-08-08T20:44:05.313303+00,/,1
